Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  24.405     3799.0891987],[  0.63322587 120.45407551],[  23.         3348.36974268],[  26.         4116.72130133],"[45, 90, 18, 24, 98, 30, 46, 62, 68, 52, 88, 93, 75, 76, 20, 26, 92, 60, 86, 69, 70, 87, 33, 65, 23, 42, 94, 54, 13, 5, 83, 50, 32, 28, 43, 10, 95, 80, 64, 11, 19, 89, 47, 12, 81, 4, 61, 41, 55, 72, 38, 8, 48, 82, 56, 57, 36, 39, 21, 67, 96, 6, 9, 66, 49, 17, 15, 63, 74, 27, 77, 73, 2, 3, 35, 59, 40, 100, 99, 1, 31, 44, 78, 25, 91, 85, 58, 34, 79, 37, 84, 16, 51, 22, 29, 71, 53, 97, 14, 7]","(23.0, 3619.2002757531372)"
1,352,[  24.1975     3685.04707677],[ 0.68080375 79.62509594],[  23.         3348.36974268],[  26.         4012.82499572],"[21, 39, 9, 33, 13, 10, 24, 75, 94, 23, 71, 80, 73, 87, 20, 99, 8, 55, 69, 5, 11, 74, 7, 49, 95, 27, 22, 68, 62, 88, 15, 26, 53, 72, 34, 2, 58, 77, 50, 46, 59, 78, 79, 91, 82, 89, 45, 85, 56, 40, 98, 97, 29, 4, 31, 42, 30, 100, 81, 76, 66, 70, 63, 64, 47, 32, 17, 19, 52, 41, 83, 84, 57, 65, 25, 18, 93, 3, 48, 90, 38, 86, 60, 43, 61, 35, 1, 12, 51, 16, 28, 37, 96, 54, 92, 6, 67, 44, 14, 36]","(23.0, 3548.5967050051167)"
2,342,[  23.9825     3633.01899976],[ 0.73293502 91.23851045],[  23.         3348.36974268],[  26.         4012.82499572],"[82, 50, 90, 9, 45, 43, 11, 99, 26, 27, 29, 73, 49, 10, 51, 24, 42, 79, 80, 21, 58, 4, 28, 83, 98, 88, 100, 81, 94, 25, 47, 72, 74, 33, 31, 96, 64, 95, 5, 85, 16, 86, 87, 59, 37, 56, 14, 77, 54, 18, 44, 22, 8, 91, 7, 35, 78, 46, 20, 76, 55, 2, 63, 1, 6, 84, 40, 69, 39, 19, 30, 38, 93, 17, 12, 75, 61, 97, 13, 89, 62, 32, 60, 52, 48, 66, 67, 23, 71, 65, 70, 68, 36, 34, 3, 92, 57, 53, 41, 15]","(23.0, 3537.26530580602)"
3,336,[  23.7125     3616.22552589],[  0.77771701 123.18140632],[  23.         3348.36974268],[  27.         4012.82499572],"[61, 99, 26, 67, 18, 95, 63, 2, 78, 3, 81, 76, 64, 71, 24, 1, 86, 83, 96, 4, 27, 9, 12, 23, 97, 25, 29, 51, 85, 13, 59, 65, 34, 28, 98, 47, 94, 53, 11, 46, 38, 45, 21, 74, 20, 33, 5, 44, 72, 68, 19, 87, 77, 41, 15, 52, 35, 56, 37, 7, 8, 40, 42, 17, 14, 49, 84, 43, 100, 36, 54, 57, 82, 79, 80, 93, 55, 32, 92, 90, 91, 88, 73, 75, 48, 89, 60, 6, 39, 58, 50, 10, 69, 16, 22, 66, 62, 31, 70, 30]","(23.0, 3487.39181536251)"
4,330,[  23.7025     3562.89065575],[ 0.76745928 89.62767019],[  23.         3348.36974268],[  27.         3717.34296824],"[14, 53, 88, 95, 63, 82, 13, 97, 6, 96, 73, 85, 2, 57, 54, 78, 52, 30, 29, 23, 4, 74, 59, 72, 45, 48, 80, 60, 19, 40, 58, 27, 50, 86, 99, 93, 71, 64, 66, 12, 84, 47, 8, 69, 51, 91, 49, 41, 22, 26, 11, 92, 18, 68, 1, 83, 100, 3, 42, 89, 46, 56, 7, 98, 17, 36, 44, 37, 87, 39, 62, 79, 70, 65, 67, 15, 76, 75, 10, 77, 32, 43, 25, 38, 31, 16, 20, 55, 94, 5, 90, 21, 61, 35, 33, 34, 24, 9, 81, 28]","(23.0, 3481.8025601567947)"
5,340,[  23.7875    3522.1283887],[ 0.82604101 77.27884289],[  23.         3313.50422421],[  27.        3658.6196803],"[74, 69, 54, 72, 94, 64, 30, 29, 48, 15, 2, 12, 32, 1, 33, 19, 5, 37, 97, 75, 81, 22, 87, 39, 25, 56, 73, 27, 20, 46, 43, 86, 40, 23, 61, 60, 42, 90, 77, 31, 13, 17, 9, 16, 100, 21, 41, 96, 70, 49, 8, 52, 71, 51, 10, 98, 88, 95, 78, 68, 24, 26, 55, 14, 34, 66, 89, 84, 35, 93, 44, 4, 85, 45, 59, 80, 6, 82, 28, 38, 92, 99, 76, 36, 63, 47, 11, 3, 65, 91, 57, 58, 53, 83, 7, 18, 79, 50, 67, 62]","(23.0, 3441.783199901873)"
6,362,[  23.8125     3484.56845412],[ 0.82300896 68.5708425 ],[  23.         3278.66731403],[  27.         3615.67392786],"[31, 9, 75, 56, 69, 63, 85, 60, 42, 41, 49, 19, 12, 97, 58, 96, 3, 17, 11, 51, 70, 35, 27, 65, 88, 18, 74, 6, 80, 40, 79, 39, 94, 43, 44, 87, 93, 23, 13, 77, 98, 83, 72, 62, 5, 48, 46, 52, 1, 30, 37, 95, 28, 54, 67, 25, 53, 64, 76, 8, 61, 81, 29, 21, 24, 10, 73, 57, 59, 38, 100, 89, 99, 91, 2, 47, 84, 20, 36, 26, 33, 86, 15, 4, 14, 22, 55, 71, 34, 50, 92, 45, 78, 68, 82, 7, 90, 66, 16, 32]","(23.0, 3395.7220020946274)"
7,344,[  23.83       3453.46035249],[ 0.83132424 68.5443138 ],[  23.         3251.15846366],[  26.        3566.5762376],"[63, 54, 57, 65, 33, 48, 71, 21, 95, 29, 7, 36, 49, 74, 22, 23, 37, 66, 20, 31, 93, 39, 99, 51, 11, 53, 67, 50, 17, 2, 80, 4, 13, 76, 43, 44, 92, 94, 15, 40, 61, 16, 38, 100, 47, 82, 45, 52, 69, 35, 32, 10, 77, 78, 41, 55, 24, 9, 18, 8, 26, 6, 70, 84, 73, 86, 79, 56, 28, 83, 12, 34, 3, 25, 1, 62, 58, 96, 5, 97, 60, 89, 81, 91, 64, 46, 87, 90, 88, 68, 19, 42, 27, 30, 72, 85, 59, 14, 75, 98]","(23.0, 3377.681641732544)"
8,336,[  23.78       3426.52053357],[ 0.80099938 71.13006651],[  23.         3228.79996843],[  26.         3542.81638296],"[31, 9, 75, 42, 69, 17, 85, 60, 56, 41, 49, 19, 12, 97, 58, 81, 3, 63, 11, 51, 70, 35, 27, 10, 88, 18, 74, 6, 80, 40, 57, 39, 94, 43, 44, 87, 93, 23, 13, 77, 98, 83, 72, 62, 5, 48, 46, 52, 1, 30, 37, 95, 28, 54, 67, 25, 53, 64, 76, 8, 61, 96, 29, 21, 20, 65, 73, 79, 59, 38, 100, 89, 99, 91, 2, 47, 84, 24, 36, 26, 33, 86, 15, 4, 14, 22, 55, 71, 34, 50, 92, 45, 78, 68, 82, 7, 90, 66, 16, 32]","(23.0, 3248.298368103524)"
9,342,[  23.7975     3397.60238327],[ 0.81944722 72.3501989 ],[  22.         3153.01493152],[  25.         3511.86562227],"[31, 9, 75, 56, 69, 63, 85, 60, 42, 41, 49, 19, 12, 97, 58, 96, 3, 17, 11, 51, 70, 35, 27, 65, 88, 18, 74, 6, 80, 82, 79, 39, 94, 43, 44, 87, 93, 23, 13, 77, 98, 83, 72, 62, 5, 48, 46, 52, 1, 30, 84, 95, 28, 54, 67, 25, 53, 20, 76, 8, 61, 81, 29, 21, 24, 10, 73, 57, 59, 38, 100, 89, 99, 4, 2, 47, 37, 64, 36, 26, 33, 86, 55, 91, 14, 22, 15, 71, 34, 50, 92, 45, 78, 68, 40, 7, 90, 66, 16, 32]","(22.0, 3405.553277827782)"
